City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
134,new amsterdam,GY,2021-12-12 12:17:33,6.25,-57.5167,74.19,98,100,3.29,moderate rain,0.0,0
135,busselton,AU,2021-12-12 12:17:34,-33.65,115.3333,59.09,61,3,19.26,clear sky,0.0,0
136,ahipara,NZ,2021-12-12 12:17:34,-35.1667,173.1667,66.58,95,72,5.66,broken clouds,0.0,0
137,shu,KZ,2021-12-12 12:17:34,43.5983,73.7614,42.12,74,100,6.55,overcast clouds,0.0,0
138,channel-port aux basques,CA,2021-12-12 12:17:35,47.5702,-59.1367,49.96,96,100,34.54,overcast clouds,0.0,0
139,ostrovnoy,RU,2021-12-12 12:17:35,68.0531,39.5131,27.12,92,96,15.99,overcast clouds,0.0,0
140,san quintin,MX,2021-12-12 12:17:35,30.4833,-115.95,54.45,62,0,6.26,clear sky,0.0,0
141,san pedro,PH,2021-12-12 12:17:35,14.35,121.0167,80.35,80,20,3.44,few clouds,0.0,0
142,henties bay,NA,2021-12-12 12:17:36,-22.116,14.2845,63.86,67,4,12.53,clear sky,0.0,0
143,iqaluit,CA,2021-12-12 12:17:36,63.7506,-68.5145,4.73,78,90,2.3,light snow,0.0,0
144,sao joao da barra,BR,2021-12-12 12:17:37,-21.6403,-41.0511,82.49,79,99,10.33,overcast clouds,0.0,0
145,honningsvag,NO,2021-12-12 12:17:37,70.9821,25.9704,32.11,87,100,14.32,light snow,0.0,0
146,torbay,CA,2021-12-12 12:17:37,47.6666,-52.7314,51.58,97,90,31.07,light intensity drizzle,0.0,0
147,souillac,MU,2021-12-12 12:17:38,-20.5167,57.5167,82.78,69,75,13.8,light rain,0.0,0
148,east london,ZA,2021-12-12 12:17:38,-33.0153,27.9116,76.14,73,20,10.36,few clouds,0.0,0
149,hamilton,US,2021-12-12 12:14:41,39.1834,-84.5333,32.56,85,1,4.61,clear sky,0.0,0
150,chaplygin,RU,2021-12-12 12:17:38,53.2432,39.9629,21.29,76,82,9.55,broken clouds,0.0,0
151,sambava,MG,2021-12-12 12:17:39,-14.2667,50.1667,82.83,64,100,10.29,overcast clouds,0.0,0
152,kushmurun,KZ,2021-12-12 12:17:39,52.4503,64.6311,6.75,93,7,7.92,clear sky,0.0,0
153,pimentel,PE,2021-12-12 12:17:40,-6.8367,-79.9342,66.49,77,0,9.22,clear sky,0.0,0
154,mackenzie,CA,2021-12-12 12:17:40,55.2999,-123.1698,17.82,93,90,3.44,mist,0.0,0
155,vardo,NO,2021-12-12 12:17:40,70.3705,31.1107,26.8,95,100,13.31,light snow,0.0,0
156,haicheng,CN,2021-12-12 12:17:41,40.8516,122.7475,22.35,38,0,2.51,clear sky,0.0,0
157,pryazha,RU,2021-12-12 12:17:41,61.6926,33.6216,6.03,95,99,4.0,overcast clouds,0.0,0
158,khorramshahr,IR,2021-12-12 12:17:41,30.4397,48.1664,75.16,29,0,11.5,clear sky,0.0,0
159,lorengau,PG,2021-12-12 12:17:42,-2.0226,147.2712,82.78,84,98,8.61,overcast clouds,0.0,0
160,tiksi,RU,2021-12-12 12:17:42,71.6872,128.8694,-21.93,100,91,2.77,overcast clouds,0.0,0
161,hilo,US,2021-12-12 12:17:25,19.7297,-155.09,71.28,82,1,6.91,clear sky,0.0,0
162,maragogi,BR,2021-12-12 12:17:42,-9.0122,-35.2225,83.08,65,15,11.21,few clouds,0.0,0
163,hwange,ZW,2021-12-12 12:17:43,-18.3693,26.5019,100.15,17,81,10.16,broken clouds,0.0,0
164,caravelas,BR,2021-12-12 12:17:43,-17.7125,-39.2481,83.46,62,74,7.02,broken clouds,0.0,0
165,saint paul,US,2021-12-12 12:17:43,44.9444,-93.0933,28.11,81,1,1.99,clear sky,0.0,0
166,lompoc,US,2021-12-12 12:17:44,34.6391,-120.4579,53.13,84,1,4.61,clear sky,0.0,0
167,poum,NC,2021-12-12 12:17:44,-20.2333,164.0167,81.14,81,100,16.17,overcast clouds,0.0,0
168,baijiantan,CN,2021-12-12 12:17:44,45.6333,85.1833,16.57,68,72,5.53,broken clouds,0.0,0
169,kampen,NL,2021-12-12 12:17:45,52.555,5.9111,50.99,85,100,11.07,overcast clouds,0.0,0
170,manta,EC,2021-12-12 12:17:45,-0.95,-80.7333,71.38,100,90,0.0,light rain,0.0,0
171,sencha,UA,2021-12-12 12:17:45,50.2548,33.346,39.58,78,81,10.98,broken clouds,0.0,0
172,hauterive,FR,2021-12-12 12:17:45,46.0901,3.4459,50.09,66,90,2.28,overcast clouds,0.0,0
